anime_id,title,title_english,title_synonyms,image_url,type,source,episodes,status,airing,aired_string,aired,duration,rating,score,scored_by,rank,popularity,members,favorites,background,premiered,broadcast,producer,licensor,studio,genre,duration_min,aired_from_year
11013,Inu x Boku SS,Inu X Boku Secret Service,Youko x Boku SS,https://myanimelist.cdn-dena.com/images/anime/12/35893.jpg,TV,Manga,12,Finished Airing,FALSE,"Jan 13, 2012 to Mar 30, 2012","{'from': '2012-01-13', 'to': '2012-03-30'}",24 min. per ep.,PG-13 - Teens 13 or older,7.63,139250,1274,231,283882,2809,"Inu x Boku SS was licensed by Sentai Filmworks for North America, while MVM Films licensed it for the United Kingdom. During April 2013, Hanabee Entertainment released the series on DVD and Blu-ray for Australia and New Zealand.",Winter 2012,Fridays at Unknown,"Aniplex, Square Enix, Mainichi Broadcasting System, Movic, Inu x Boku SS Production Partners",Sentai Filmworks,David Production,"Comedy, Supernatural, Romance, Shounen",24,2012
2104,Seto no Hanayome,My Bride is a Mermaid,The Inland Sea Bride,https://myanimelist.cdn-dena.com/images/anime/13/58383.jpg,TV,Manga,26,Finished Airing,FALSE,"Apr 2, 2007 to Oct 1, 2007","{'from': '2007-04-02', 'to': '2007-10-01'}",24 min. per ep.,PG-13 - Teens 13 or older,7.89,91206,727,366,204003,2579,,Spring 2007,Unknown,"TV Tokyo, AIC, Square Enix, Sotsu",Funimation,Gonzo,"Comedy, Parody, Romance, School, Shounen",24,2007
5262,Shugo Chara!! Doki,Shugo Chara!! Doki,"Shugo Chara Ninenme, Shugo Chara! Second Year",https://myanimelist.cdn-dena.com/images/anime/11/10645.jpg,TV,Manga,51,Finished Airing,FALSE,"Oct 4, 2008 to Sep 25, 2009","{'from': '2008-10-04', 'to': '2009-09-25'}",24 min. per ep.,PG - Children,7.55,37129,1508,1173,70127,802,,Fall 2008,Unknown,"TV Tokyo, Sotsu",,Satelight,"Comedy, Magic, School, Shoujo",24,2008
721,Princess Tutu,Princess Tutu,,https://myanimelist.cdn-dena.com/images/anime/13/32209.jpg,TV,Original,38,Finished Airing,FALSE,"Aug 16, 2002 to May 23, 2003","{'from': '2002-08-16', 'to': '2003-05-23'}",16 min. per ep.,PG-13 - Teens 13 or older,8.21,36501,307,916,93312,3344,"Princess Tutu aired in two parts. The first part included 13 25-minute-long episodes, while the second part consisted of 24 12-minute-long episodes with a 25-minute-long final episode for a total of 25 episodes.",Summer 2002,Fridays at Unknown,"Memory-Tech, GANSIS, Marvelous AQL",ADV Films,Hal Film Maker,"Comedy, Drama, Magic, Romance, Fantasy",16,2002
12365,Bakuman. 3rd Season,Bakuman.,Bakuman Season 3,https://myanimelist.cdn-dena.com/images/anime/6/41845.jpg,TV,Manga,25,Finished Airing,FALSE,"Oct 6, 2012 to Mar 30, 2013","{'from': '2012-10-06', 'to': '2013-03-30'}",24 min. per ep.,PG-13 - Teens 13 or older,8.67,107767,50,426,182765,2082,,Fall 2012,Unknown,"NHK, Shueisha",,J.C.Staff,"Comedy, Drama, Romance, Shounen",24,2012
6586,Yume-iro Pâtissière,,"Yumeiro Patissiere, YumePati, Dream-Colored Pastry Chef, Yumeiro Pâtissière",https://myanimelist.cdn-dena.com/images/anime/12/21674.jpg,TV,Manga,50,Finished Airing,FALSE,"Oct 4, 2009 to Sep 26, 2010","{'from': '2009-10-04', 'to': '2010-09-26'}",24 min. per ep.,G - All Ages,8.03,21618,526,1630,45625,826,,Fall 2009,Unknown,"Yomiuri Telecasting, DAX Production, Shueisha",,"Studio Pierrot, Studio Hibari","Kids, School, Shoujo",24,2009
178,Ultra Maniac,Ultramaniac - Magical Girl,,https://myanimelist.cdn-dena.com/images/anime/8/53571.jpg,TV,Manga,26,Finished Airing,FALSE,"May 20, 2003 to Nov 11, 2003","{'from': '2003-05-20', 'to': '2003-11-11'}",24 min. per ep.,G - All Ages,7.26,9663,2594,2490,22778,122,,Spring 2003,Tuesdays at 22:00 (JST),"WAO World, Studio Jack","Discotek Media, Geneon Entertainment USA",Production Reed,"Magic, Comedy, Romance, School, Shoujo",24,2003
2787,Shakugan no Shana II (Second),Shakugan no Shana: Season II,Shakugan no Shana 2,https://myanimelist.cdn-dena.com/images/anime/10/18669.jpg,TV,Light novel,24,Finished Airing,FALSE,"Oct 5, 2007 to Mar 28, 2008","{'from': '2007-10-05', 'to': '2008-03-28'}",24 min. per ep.,PG-13 - Teens 13 or older,7.72,126085,1066,332,220591,1075,,Fall 2007,Fridays at 01:25 (JST),"Geneon Universal Entertainment, ASCII Media Works",Funimation,J.C.Staff,"Action, Drama, Fantasy, Romance, School, Supernatural",24,2007
4477,Nodame Cantabile: Paris-hen,,"Nodame Cantabile Paris Chapter, Nodame Cantabile Pari-hen",https://myanimelist.cdn-dena.com/images/anime/4/11918.jpg,TV,Manga,11,Finished Airing,FALSE,"Oct 10, 2008 to Dec 19, 2008","{'from': '2008-10-10', 'to': '2008-12-19'}",23 min. per ep.,PG-13 - Teens 13 or older,8.24,53908,281,988,85660,282,,Fall 2008,Fridays at 00:45 (JST),"Fuji TV, Asmik Ace Entertainment, Sony Music Entertainment",,J.C.Staff,"Music, Slice of Life, Comedy, Romance, Josei",23,2008
853,Ouran Koukou Host Club,Ouran High School Host Club,"Ohran Koko Host Club, Ouran Koukou Hosutobu, Ouran Koukou Host Bu, OHSHC",https://myanimelist.cdn-dena.com/images/anime/2/71992.jpg,TV,Manga,26,Finished Airing,FALSE,"Apr 5, 2006 to Sep 27, 2006","{'from': '2006-04-05', 'to': '2006-09-27'}",23 min. per ep.,PG-13 - Teens 13 or older,8.34,335137,205,69,538843,24072,,Spring 2006,Wednesdays at 00:50 (JST),"VAP, Hakusensha, Nippon Television Network",Funimation,Bones,"Comedy, Harem, Romance, School, Shoujo",23,2006
